# source: https://www.bilibili.com/video/BV1foRjBSEvk
# language: zh
# model: small

[00000.00-00004.00] 大快聯繫,異向動漫,對自己繳的野技你有利嗎?
[00004.00-00010.00] 而且這個泡浮貓啊,你到底敢不敢一次性把錄音多放一點,放完整一點,像我這樣
[00010.00-00014.08] 傷心什麼嗎?
[00014.08-00017.08] 你覺得你說我太難過了
[00017.08-00021.08] 你還說你一次就兩百塊錢,你還說還要肉場我底錢
[00021.08-00023.08] 那我就肉場你嗎?
[00023.08-00026.08] 你還是個人啊
[00026.08-00028.08] 說這種話
[00028.08-00031.08] 你又不是沒有錢,你一個月五千塊錢,拿一個月出去
[00031.08-00035.08] 你就當我們是情侶關係,一個月拿一千塊錢給我花一下,怎麼了
[00037.08-00039.08] 你說你這個人怎麼這麼小氣
[00039.08-00041.08] 你都不跟我當情侶,我為什麼還要給你花
[00041.08-00044.08] 那你就不當情侶,你就要直接還我一點五萬
[00044.08-00047.08] 兩萬塊錢我都不說了,你就只要還我一點五萬
[00047.08-00049.08] 你自己看什麼
[00049.08-00050.08] 我肉場你
[00050.08-00053.08] 你知道吧,一個當機的女人是最沒有魅力的
[00053.08-00055.08] 我不要,我不管
[00055.08-00060.08] 你所說的那些事,就是我不答應你肉場,你就跟我翻臉機眼了
[00060.08-00063.08] 那他們不是都臨證了嗎?為什麼不直接走法律程序呢?
[00063.08-00066.08] 結婚證是假帶腳的網圖借水光的酒
[00066.08-00070.08] 這個夜提廟早上也是發了好幾條視頻來散播地下的
[00070.08-00073.08] 現在也是全鄉了,這也是捉弄的一環嘛,地下老師
