# source: https://www.bilibili.com/video/BV19d5E6mEpK
# language: zh
# model: small

[00000.00-00006.14] 就我女朋友我前我那个前女友她是那个抽烟喝酒欧德
[00006.40-00008.70] 然后什么不良习惯都有还
[00008.96-00011.26] 还那个什么你知道还xd
[00011.52-00015.10] 然后的话当然的话我知道他家的地址我就立马去跟他父母说了
[00015.36-00019.70] 你碰到脸你碰到脸比后一点你的压根就不在乎这些
[00019.96-00025.86] 不过主要主要是什么呢主要是他父母就是从来不知道他抽烟你知道因为他是一个
[00026.12-00028.92] 乖女孩他现在已经被我被我告了嘛
[00029.36-00033.52] 然后的话被所在家里面然后的话父母都给他发钱都不让他出门的
[00035.06-00036.60] 不过我觉得不过我觉得啊
[00037.62-00041.46] 这个女性还是有权利选择对自己好的这个对象的
[00041.72-00047.60] 放下吧都放下过过去吧好吧拥抱未来开始新生活吧
[00048.38-00055.80] 可以的因为因为这点屁事是吧耽误自己的人生占用互联网公共资源没有意义
[00056.06-00058.36] 过去了都过去了吧可以不联系了
[00059.90-00064.24] 那地上都嘛你那个准备找一个新女朋友
[00064.76-00067.84] 我的女朋友已经在我边上了一个强者身边
[00068.60-00072.18] 强女人啊是对强者的家长给大家打个招呼
[00072.44-00075.48] 可以啊可以啊
[00075.74-00079.32] 可以关注啊我的名字叫地上地下都嘛
[00079.84-00080.34] 啊
[00081.12-00084.44] 女女人啊是对强者的家长
[00084.70-00088.28] 一个真正内心强大的人身边是不会缺巨人的
[00089.24-00092.28] 儿子女的怎么声音有点眼熟啊
[00092.58-00094.12] 对啊有点熟啊
[00094.38-00097.32] 耳熟啊这这这是一种谁啊这女的谁啊
[00097.32-00098.12] 这不是一个
[00098.38-00100.12] 是不是一个动物呀是不是
[00104.32-00105.62] 这女的谁啊这女的
[00107.32-00107.82] 啊
[00109.12-00110.76] 调动办怎么走了调动办
[00111.72-00112.96] 调动办怎么走了
[00113.82-00117.16] 完了完了完了完了走了走了走了
[00122.15-00123.43] 我操咋这样啊
[00123.69-00126.75] 怎么是泡浮猫啊这旁边外面女的
[00128.55-00132.39] 哦我知道了是那个是那个夜铁标跟那个地上都嘛现在和好了
[00132.39-00135.45] 知道吧所以他道歉了现在现在两人隔一堂床上躺着
[00135.45-00137.75] 人家哈吉米的就是啊我照和
[00137.75-00140.15] 可以的地上都嘛又开始原谅了和解的肯定是这样
[00140.15-00144.15] 就是地上都嘛你接受了那个泡浮猫的肉肠的啊就是
[00144.55-00145.75] 然后就和好了这样
[00147.55-00150.45] 哎向向走了哎这个有没有录屏啊这个
[00150.45-00154.05] 有没有录屏就切片录录好的画一下画一下
