# source: https://www.bilibili.com/video/BV1aHE16hELD
# language: zh
# model: small

[00000.00-00001.24] 某某夜提猫
[00001.24-00003.00] 该说你是天真可爱的
[00003.00-00004.80] 还是说你破罐子破摔的
[00004.80-00007.36] 事到如今还立着冰晴欲绝的人设
[00007.36-00008.64] 在美美隐身跟粉丝
[00008.64-00010.88] 跟朋友跟亲戚装可怜卖惨的
[00010.88-00012.80] 还想着出视频做你的网红猫
[00012.80-00014.72] 你到底是网红还是网黄啊
[00014.72-00015.80] 先听你的录音
[00015.80-00016.80] 我对录音的内容
[00016.80-00018.44] 真实性负法律责任
[00018.44-00020.50] 嗯
[00020.50-00021.66] 我至少
[00021.66-00022.46] 情人关系
[00022.46-00023.30] 倒好吧
[00023.30-00025.10] 但是我们得先确定好
[00025.10-00026.90] 只有六几万
[00026.90-00028.66] 没有
[00028.66-00030.38] 那个没有恋爱关系
[00030.38-00032.02] 那你不会有什么那种东西吧
[00032.02-00033.22] 你不会有性病吧
[00033.22-00034.26] 你别磨叽
[00034.26-00035.38] 你愿不愿意
[00035.94-00037.14] 我愿意
[00037.14-00039.02] 你得让你亲友说
[00039.02-00040.38] 你就说你看到我行
[00040.38-00041.66] 想打你亲人了
[00041.66-00042.58] 说你自然了
[00042.58-00044.02] 我可没低调
[00044.02-00044.66] 我自然了
[00044.66-00046.02] 那你不要告诉他好吗
[00046.02-00048.30] 那就是你同意我们两个
[00048.30-00049.90] 发生这种关系是吧
[00049.90-00051.50] 但是我是
[00051.50-00052.94] 我的保护措施
[00052.94-00054.30] 是
[00054.30-00056.02] 是基本上不带的
[00056.02-00057.50] 是不带的行不行
[00057.50-00058.66] 如果在你这样的情况下
[00058.66-00059.50] 是可以的
[00059.54-00060.26] 我说实话
[00060.26-00061.46] 如果一次两次
[00061.46-00062.38] 你不带
[00062.38-00062.70] 可以
[00062.70-00063.62] 那你如果太多次
[00063.62-00064.02] 不带的话
[00064.02-00064.82] 那怎么办
[00064.82-00066.30] 还有紧急避孕
[00066.30-00069.11] 我会怀疑的
[00069.11-00070.11] 那好吧
[00070.11-00071.71] 我愿意打你们亲人
[00071.71-00072.47] 那你
[00072.47-00073.35] 那你
[00073.35-00074.27] 也同意
[00074.27-00075.39] 我们只发生
[00075.39-00076.27] 这种关系
[00076.27-00077.55] 偶尔才可以
[00077.55-00078.23] 在里面
[00078.23-00079.07] 对吧
[00079.07-00080.47] 难怪叫液体猫呢
[00080.47-00081.63] 一个陌生网友给钱
[00081.63-00082.51] 就可以双排
[00082.51-00083.91] 可以被做成奶油泡浮
[00083.91-00085.15] 你当初跟我双排的时候
[00085.15-00086.51] 说一辈子都是我的形状
[00086.51-00087.71] 难道是骗我的吗
[00087.71-00089.03] 可好这句话是泡浮猫
[00089.03-00090.19] 当时亲口说的
[00090.19-00091.27] 可能会有人说
[00091.27-00092.15] 地上动漫啊
[00092.15-00093.83] 你这是AI是造谣的吧
[00093.83-00095.27] 那么我在这里发布选赏
[00095.27-00096.51] 只要他或任何人
[00096.51-00097.27] 能拿出证据
[00097.27-00098.31] 证明这是假的
[00098.31-00099.11] 虚构的
[00099.11-00099.99] 直接带着证据
[00099.99-00100.95] 找我零五万
[00100.95-00101.51] 这事啊
[00101.51-00102.71] 还只是冰亲一劫
[00102.71-00104.39] 泡浮猫干的其中之一
[00104.39-00105.31] 后续完整内容
[00105.31-00106.39] 我会持续更新
[00106.39-00107.51] 并且也会线下
[00107.51-00109.35] 拜访其令堂时时直播
[00109.35-00110.51] 恋爱期间共五个月
[00110.51-00111.11] 吃喝玩乐
[00111.11-00112.67] 共用我4.5万网上
[00112.67-00113.59] 找你要个说法
[00113.59-00114.83] 还全面来拉黑
[00114.83-00116.07] 地上维权系列
[00116.07-00116.95] 正式开播
[00116.95-00117.79] 各位哈记民们
[00117.83-00118.95] 请持续关注
[00118.95-00121.23] 这次请相信男性力量
