# source: https://www.bilibili.com/video/BV1PMq6YnEtf
# language: zh
# model: small

[00000.00-00004.28] 大快人心，支持央妈驱逐英伟达，用N卡的全都是卖国贼。
[00004.28-00006.68] 哈基米们大家好，欢迎收看本期的地上动漫。
[00006.68-00010.08] 黄仁勋，一个公然支持台独的负面人物，早就该滚出中国了。
[00010.08-00012.60] 人工智能不过是奇技淫巧、泡沫经济。
[00012.60-00014.80] 一味的发展只是重演房地产的老路。
[00014.80-00017.88] 西方用先进的高算力显卡编织了AI的乌托邦美梦，
[00017.88-00019.48] 弄得世界各地人心惶惶。
[00019.48-00022.92] 高性能显卡归根结底不过是游戏痴子的执迷不悟。
[00022.92-00026.28] 英伟达、微软、苹果亡我中华之心不死，一个也别想跑。
[00026.28-00029.28] 技术垄断的时代早已结束，我们根本就不怕卡脖子。
[00029.28-00033.20] 千年大国底蕴深不可测，《永乐大典》早就开源并且遥遥领先。
[00033.20-00037.44] 麒麟、龙芯算力压根就不输N卡，华为的光刻机也攻克了5纳米瓶颈。
[00037.44-00041.28] 哪怕是Windows，微软名字也都是抄袭我国古代官职“文都司”。
[00041.28-00043.96] 来到中国的企业就必须要选择正确的战队。
[00043.96-00048.20] 英伟达这种垄断企业左右逢源的难看吃相，触碰到了我们的底线。
[00048.20-00051.72] 面对东方的红色铁拳，如今的英伟达已是在风雨里飘摇。
[00051.72-00055.92] 如若再执迷不悟，我们不介意把皮衣做紧点，卡卡黄仁勋的脖子。
